DATAFLOW,LAST UPDATE,freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-06,7828.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-07,6981.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-08,7721.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-09,8411.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-10,8307.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-11,8535.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2023-12,7996.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2024-01,8536.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2024-02,8028.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ACP,TOTAL,EU27_2020,2024-03,8241.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-06,1312.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-07,1116.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-08,1508.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-09,1055.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-10,1559.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-11,1135.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2023-12,1062.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2024-01,852.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2024-02,728.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AE,TOTAL,EU27_2020,2024-03,1180.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-06,16047.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-07,13611.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-08,14759.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-09,15674.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-10,16531.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-11,16418.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2023-12,15583.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2024-01,16022.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2024-02,15177.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AFR,TOTAL,EU27_2020,2024-03,15675.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-06,42035.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-07,40485.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-08,41181.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-09,40630.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-10,43193.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-11,43157.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2023-12,41188.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2024-01,41424.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2024-02,39335.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME,TOTAL,EU27_2020,2024-03,40482.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-06,10227.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-07,9234.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-08,10324.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-09,9158.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-10,10800.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-11,9706.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2023-12,9162.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2024-01,9985.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2024-02,8614.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AME_LAT,TOTAL,EU27_2020,2024-03,9269.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-06,533.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-07,522.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-08,612.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-09,554.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-10,674.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-11,508.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2023-12,480.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2024-01,502.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2024-02,445.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AR,TOTAL,EU27_2020,2024-03,529.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-06,12404.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-07,13264.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-08,13009.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-09,12409.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-10,13707.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-11,12692.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2023-12,11523.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2024-01,12337.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2024-02,11582.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASEAN,TOTAL,EU27_2020,2024-03,12831.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-06,93890.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-07,94796.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-08,90721.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-09,92439.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-10,100415.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-11,91791.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2023-12,78654.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2024-01,82074.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2024-02,81703.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI,TOTAL,EU27_2020,2024-03,89222.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-06,82261.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-07,83858.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-08,79976.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-09,81524.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-10,88672.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-11,81618.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2023-12,69687.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2024-01,73650.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2024-02,73459.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_OTH,TOTAL,EU27_2020,2024-03,79644.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-06,11629.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-07,10937.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-08,10745.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-09,10915.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-10,11743.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-11,10172.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2023-12,8967.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2024-01,8423.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2024-02,8243.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,ASI_W_IR,TOTAL,EU27_2020,2024-03,9578.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-06,1185.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-07,922.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-08,802.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-09,992.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-10,945.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-11,700.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2023-12,935.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2024-01,871.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2024-02,805.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,AU,TOTAL,EU27_2020,2024-03,819.7,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-06,3736.6,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-07,3364.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-08,4084.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-09,3525.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-10,4326.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-11,3595.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2023-12,3439.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2024-01,3539.9,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2024-02,3073.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,BR,TOTAL,EU27_2020,2024-03,3355.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-06,2269.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-07,2517.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-08,2028.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-09,2018.5,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-10,2180.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-11,2415.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2023-12,2257.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2024-01,2349.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2024-02,2422.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CA,TOTAL,EU27_2020,2024-03,2128.4,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-06,13377.1,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-07,12138.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-08,11812.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-09,12305.0,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-10,13619.3,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-11,13569.2,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2023-12,12071.8,
ESTAT:EXT_ST_EU27_2020SITC(1.0),21/05/24 11:00:00,M,IMP,TRD_VAL,CC5_15,TOTAL,EU27_2020,2024-01,13414.3,
